id,bom_id/id,product_id/id,product_qty,product_uom_id/id
bom_sf_kem_dau_line_1,bom_sf_kem_dau,zed_custom.pp_ing_rich_lun,0.08,uom.product_uom_litre
bom_sf_kem_dau_line_2,bom_sf_kem_dau,zed_custom.pp_ing_rich_cao,0.08,uom.product_uom_litre
bom_sf_kem_dau_line_3,bom_sf_kem_dau,zed_custom.pp_ing_base_kem,0.03,uom.product_uom_litre
bom_sf_kem_dau_line_4,bom_sf_kem_dau,zed_custom.pp_ing_muc_dau,0.02,uom.product_uom_litre
bom_sf_kem_muoi_line_1,bom_sf_kem_muoi,zed_custom.pp_ing_rich_lun,0.15,uom.product_uom_litre
bom_sf_kem_muoi_line_2,bom_sf_kem_muoi,zed_custom.pp_ing_ehot,0.15,uom.product_uom_litre
bom_sf_kem_muoi_line_3,bom_sf_kem_muoi,zed_custom.pp_ing_base_kem,0.05,uom.product_uom_litre
bom_sf_nuoc_duong_line_1,bom_sf_nuoc_duong,zed_custom.pp_ing_nuoc_loc,0.6,uom.product_uom_litre
bom_sf_nuoc_duong_line_2,bom_sf_nuoc_duong,zed_custom.pp_ing_duong_trang,0.6,uom.product_uom_litre
bom_sf_tran_chau_den_line_1,bom_sf_tran_chau_den,zed_custom.pp_ing_tran_chau_den_song,100.0,uom.product_uom_gram
bom_sf_tran_chau_den_line_2,bom_sf_tran_chau_den,zed_custom.pp_ing_duong_den,0.05,uom.product_uom_litre
bom_sf_tran_chau_den_line_3,bom_sf_tran_chau_den,zed_custom.pp_ing_duong_trang,0.02,uom.product_uom_litre
bom_sf_tran_chau_den_line_4,bom_sf_tran_chau_den,zed_custom.pp_ing_nuoc_loc,1.0,uom.product_uom_litre
bom_sf_base_tra_nhai_line_1,bom_sf_base_tra_nhai,zed_custom.pp_ing_tra_nhai,1.0,uom.product_uom_litre
bom_sf_base_hong_tra_line_1,bom_sf_base_hong_tra,zed_custom.pp_ing_hong_tra,1.0,uom.product_uom_litre
bom_sf_base_tra_mang_cau_line_1,bom_sf_base_tra_mang_cau,zed_custom.pp_ing_tra_mang_cau,0.75,uom.product_uom_litre
bom_sf_base_thai_xanh_line_1,bom_sf_base_thai_xanh,zed_custom.pp_ing_tra_thai_xanh,1.7,uom.product_uom_litre
bom_sf_base_thai_xanh_line_2,bom_sf_base_thai_xanh,zed_custom.pp_ing_bot_beo,200.0,uom.product_uom_gram
bom_sf_base_thai_xanh_line_3,bom_sf_base_thai_xanh,zed_custom.pp_ing_sua_dac,0.2,uom.product_uom_litre
bom_sf_base_thai_xanh_line_4,bom_sf_base_thai_xanh,zed_custom.pp_ing_duong_trang,0.2,uom.product_uom_litre
bom_sf_base_tra_dao_line_1,bom_sf_base_tra_dao,zed_custom.pp_ing_tra_dao,0.17,uom.product_uom_litre
bom_sf_base_tra_dao_line_2,bom_sf_base_tra_dao,zed_custom.pp_ing_nuoc_loc,0.075,uom.product_uom_litre
bom_sf_base_tra_dao_line_3,bom_sf_base_tra_dao,zed_custom.pp_ing_monin_dao,0.075,uom.product_uom_litre
bom_sf_base_tra_dao_line_4,bom_sf_base_tra_dao,zed_custom.pp_ing_duong_trang,0.025,uom.product_uom_litre
bom_sf_cafe_phin_line_1,bom_sf_cafe_phin,zed_custom.pp_ing_cafe,0.2,uom.product_uom_litre
bom_fp_caphe_den_line_1,bom_fp_caphe_den,zed_custom.pp_ing_duong_trang,0.05,uom.product_uom_litre
bom_fp_caphe_den_line_2,bom_fp_caphe_den,zed_custom.pp_ing_cafe,0.03,uom.product_uom_litre
bom_fp_caphe_den_sg_line_1,bom_fp_caphe_den_sg,zed_custom.pp_ing_duong_trang,0.15,uom.product_uom_litre
bom_fp_caphe_den_sg_line_2,bom_fp_caphe_den_sg,zed_custom.pp_ing_cafe,0.04,uom.product_uom_litre
