id,product_tmpl_id/id,attribute_id/id,value_ids/id
ptal_fp_caphe_den_ngot,zed_custom.pt_fp_caphe_den,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_caphe_den_tra,zed_custom.pt_fp_caphe_den,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_caphe_den_da,zed_custom.pt_fp_caphe_den,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_caphe_den_sg_ngot,zed_custom.pt_fp_caphe_den_sg,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_caphe_den_sg_tra,zed_custom.pt_fp_caphe_den_sg,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_caphe_den_sg_da,zed_custom.pt_fp_caphe_den_sg,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_caphe_sua_ngot,zed_custom.pt_fp_caphe_sua,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_caphe_sua_tra,zed_custom.pt_fp_caphe_sua,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_caphe_sua_da,zed_custom.pt_fp_caphe_sua,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_caphe_sua_sg_ngot,zed_custom.pt_fp_caphe_sua_sg,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_caphe_sua_sg_tra,zed_custom.pt_fp_caphe_sua_sg,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_caphe_sua_sg_da,zed_custom.pt_fp_caphe_sua_sg,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_bac_xiu_da_ngot,zed_custom.pt_fp_bac_xiu_da,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_bac_xiu_da_tra,zed_custom.pt_fp_bac_xiu_da,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_bac_xiu_da_da,zed_custom.pt_fp_bac_xiu_da,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_caphe_muoi_ngot,zed_custom.pt_fp_caphe_muoi,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_caphe_muoi_tra,zed_custom.pt_fp_caphe_muoi,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_caphe_muoi_da,zed_custom.pt_fp_caphe_muoi,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_caphe_dua_ngot,zed_custom.pt_fp_caphe_dua,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_caphe_dua_tra,zed_custom.pt_fp_caphe_dua,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
